q0,q1,q2,q3,q4,q5
0.013140142,-0.0033639509,-0.0899205,-0.314,-0.026667593,0.023691958
0.011740795,-0.0029954545,-0.08911478,-0.314,-0.02316286,0.025142437
0.00863531,-0.0017999603,-0.08890093,-0.314,-0.020023031,0.023703637
0.007301431,-0.0028253836,-0.08849955,-0.314,-0.01803245,0.021954227
0.0054526785,-0.0014616151,-0.08764772,-0.314,-0.014643624,0.022189036
0.004262313,-0.0012249342,-0.08721012,-0.314,-0.012310337,0.02260917
0.0028050956,-0.00049943273,-0.085927,-0.314,-0.008415306,0.024171757
0.0022633837,-0.0011177299,-0.08608367,-0.314,-0.00768651,0.02260801
0.0012168678,-0.0005145364,-0.08499246,-0.314,-0.0043016346,0.024124593
0.00067706493,-0.0013128802,-0.08468402,-0.314,-0.0026616387,0.023600886
-0.0005507329,0.00018820667,-0.08413876,-0.314,-0.00022342987,0.024940416
-0.00092093257,4.7800306e-05,-0.08338157,-0.314,0.002291495,0.025084604
-0.0013410475,0.0005028203,-0.08257065,-0.314,0.004918977,0.027184112
-0.0019137154,3.1442643e-05,-0.083066724,-0.314,0.005125226,0.023184111
-0.0018207537,-0.00028573503,-0.08166089,-0.314,0.008470911,0.027184112
-0.0022677258,4.2672153e-05,-0.081343696,-0.314,0.01036997,0.026221408
-0.002321272,-0.00063401845,-0.08085959,-0.314,0.0120496815,0.026987223
-0.0023903896,-0.0004923207,-0.079976164,-0.314,0.014750942,0.029167881
-0.0025042007,-0.0008900701,-0.079700135,-0.314,0.016211528,0.028554488
-0.0025371031,-0.0004577712,-0.078779824,-0.314,0.019088492,0.030103186
-0.002804347,-0.0005029887,-0.07855057,-0.314,0.020664068,0.029197339
-0.0029020063,-0.0005402707,-0.07812344,-0.314,0.022537377,0.029007336
-0.0028274986,-0.00078105024,-0.07735138,-0.314,0.024944237,0.030764157
-0.002726414,-0.00092649116,-0.0765879,-0.314,0.027373478,0.03207898
-0.0026589062,-0.0014774486,-0.07617359,-0.314,0.028836235,0.03250331
-0.002394376,-0.00082705385,-0.075081214,-0.314,0.03175797,0.03446473
-0.002633471,-0.001159148,-0.07507203,-0.314,0.032637578,0.03280879
-0.0022454914,-0.0014180258,-0.07395985,-0.314,0.034950223,0.035815004
-0.0023176223,-0.0006633462,-0.07386484,-0.314,0.036019422,0.033732828
