x,y,z
-0.20581922900000002,-0.040681377,0.978443905
-0.205397339,-0.040994743,0.9782774310000001
-0.204984085,-0.041303207,0.9781087150000001
-0.204560364,-0.041618561,0.977943035
-0.204029022,-0.04201263,0.9777387280000001
-0.20360163900000003,-0.042327419,0.977577602
-0.20317485,-0.042643463,0.977415844
-0.202744858,-0.042960358,0.977256424
-0.202213913,-0.043354633,0.977054394
-0.20178120400000002,-0.043674343,0.976896
-0.20135437,-0.043991577,0.976736004
-0.20091920500000002,-0.044313557,0.976579155
-0.20038835100000002,-0.044709171,0.9763790360000001
-0.19995152300000002,-0.045030338,0.976224949
-0.19953167700000002,-0.045344326000000004,0.9760638850000001
-0.19909625200000003,-0.045665668,0.975909523
-0.19865844700000002,-0.045990108,0.975756672
-0.19810856599999999,-0.046397087,0.9755677340000001
-0.19766508500000002,-0.046725075,0.975418419
-0.19722459400000003,-0.047052185,0.9752685200000001
-0.196785828,-0.047378647,0.975118004
-0.19623500100000002,-0.047787868000000004,0.974931141
-0.19579269400000004,-0.04811668,0.974782883
-0.195350723,-0.048445843,0.9746351470000001
-0.19490852400000003,-0.048775455,0.9744877510000001
-0.19446673600000003,-0.049104827999999996,0.9743413350000001
-0.19391583300000004,-0.049515709,0.974159969
-0.19347293100000001,-0.049846114999999996,0.9740151370000001
-0.193031738,-0.050175987,0.973870743
-0.19258938600000003,-0.050506866000000004,0.9737265660000001
-0.192034698,-0.050922874,0.9735459900000001
-0.19159249899999997,-0.051254887,0.973401928
-0.19114910900000004,-0.051587944000000004,0.973257812
-0.190705475,-0.051920101,0.97311462
-0.190153442,-0.052333763,0.9729366420000001
-0.18971212800000004,-0.052666702,0.972793427
-0.18927121000000002,-0.052998005,0.972651188
-0.18883068800000002,-0.053331566000000004,0.9725081790000001
-0.18839059400000002,-0.053663048000000005,0.972365955
-0.18783850100000005,-0.054078278,0.972188213
-0.18739621,-0.054411797,0.9720454940000001
-0.18695428500000005,-0.054744602,0.9719036600000001
-0.186512299,-0.055078178,0.9717614670000001
-0.18596081500000006,-0.055495075,0.9715844
-0.18563009599999997,-0.055744007000000005,0.971478935
-0.18507934599999998,-0.056160217000000005,0.9713025820000001
-0.18463903800000003,-0.05649192,0.9711624830000001
-0.18419888300000004,-0.056826037999999995,0.9710214
-0.183758484,-0.057160137,0.970879955
-0.183317047,-0.057491641999999996,0.9707403910000001
