q0,q1,q2,q3,q4,q5
-0.045982134,0.042267673,-0.124098256,0.004558547,0.07839718,0.314
-0.045057196,0.0422865,-0.122969426,0.0030921593,0.07845374,0.314
-0.04429546,0.042301584,-0.1220473,0.0019272094,0.07851135,0.314
-0.04352216,0.042311504,-0.12109172,0.0007796278,0.078573816,0.314
-0.042748034,0.042296644,-0.120124,-0.00029610365,0.07866186,0.314
-0.04202384,0.0422661,-0.119265854,-0.00120401,0.0787855,0.314
-0.041367084,0.04228302,-0.118322134,-0.0022080035,0.07879542,0.314
-0.04056889,0.042355713,-0.11733337,-0.0033698652,0.078830935,0.314
-0.03993182,0.042290952,-0.11641463,-0.004131264,0.0789222,0.314
-0.039162617,0.042145755,-0.11531031,-0.0047581517,0.0791043,0.314
-0.038494293,0.042308997,-0.11451429,-0.0057569984,0.07908446,0.314
-0.038120724,0.04240314,-0.11412483,-0.006268372,0.07909809,0.314
-0.037351858,0.04225105,-0.112911284,-0.006794905,0.079262935,0.314
-0.03680552,0.04231057,-0.11209607,-0.0074162344,0.079267696,0.314
-0.036265347,0.042319402,-0.11130869,-0.007868765,0.0793314,0.314
-0.0357338,0.042318393,-0.11051454,-0.008262565,0.079396345,0.314
-0.035208352,0.04234104,-0.10977612,-0.008603401,0.0794772,0.314
-0.03458753,0.04231671,-0.108788945,-0.00892784,0.07956344,0.314
-0.03411218,0.04224866,-0.10810393,-0.008938021,0.07972267,0.314
-0.03370047,0.042171996,-0.10726998,-0.008988554,0.079783164,0.314
-0.0332631,0.042096686,-0.10647422,-0.008950729,0.079887934,0.314
-0.03271165,0.0421486,-0.105604425,-0.009174776,0.079941355,0.314
-0.03237099,0.041756433,-0.104650155,-0.008581839,0.08014711,0.314
-0.03170476,0.04248051,-0.10436527,-0.009817984,0.0800249,0.314
-0.03149164,0.04191495,-0.10344356,-0.008919773,0.080262475,0.314
-0.031020079,0.041809358,-0.10252579,-0.008762915,0.080377206,0.314
-0.030780176,0.041427106,-0.10163851,-0.0081332205,0.08052629,0.314
-0.030290682,0.04179394,-0.10113575,-0.008817117,0.08044466,0.314
-0.030045131,0.04138039,-0.10037519,-0.008107486,0.08064829,0.314
-0.029848559,0.041171897,-0.099804156,-0.0077672126,0.08073666,0.314
-0.029326329,0.041554637,-0.09941131,-0.008474466,0.08069152,0.314
-0.02909734,0.041349996,-0.0986711,-0.00812055,0.080752276,0.314
-0.028666971,0.041571777,-0.098103106,-0.008528443,0.08070915,0.314
-0.028475001,0.041231003,-0.09743603,-0.00786811,0.08086603,0.314
-0.028082473,0.04158151,-0.09706297,-0.008506714,0.08077076,0.314
-0.027946725,0.041059826,-0.09624954,-0.0075161955,0.08096009,0.314
-0.02768491,0.04074626,-0.095315345,-0.0069570593,0.08103563,0.314
-0.02744389,0.040813264,-0.09500533,-0.0069406265,0.08108448,0.314
-0.027264664,0.04060836,-0.09423544,-0.006615495,0.08107276,0.314
-0.027009267,0.040785786,-0.093840495,-0.0068894387,0.08100273,0.314
-0.0269173,0.040444598,-0.093149975,-0.0061229495,0.08110293,0.314
-0.026666058,0.04058897,-0.09261163,-0.006284748,0.081015415,0.314
-0.026732368,0.040134475,-0.09211834,-0.005090433,0.08121594,0.314
-0.02645236,0.040299438,-0.09159317,-0.0054752873,0.08107523,0.314
-0.026495144,0.03983551,-0.09102305,-0.004300268,0.08125445,0.314
-0.02618884,0.04014088,-0.09039659,-0.0048240502,0.081025936,0.314
-0.026153803,0.039928414,-0.0898662,-0.004191342,0.08106546,0.314
-0.026088541,0.040190812,-0.08948483,-0.0043033003,0.08088583,0.314
